nome,cpf,idade,data,endereco,estado
MILENA DAS NEVES,685.910.324-89,93,1930-09-02,"RESIDENCIAL DE CUNHA, 20
SANTANA DO CAFEZAL
00664725 RAMOS DE DA CONCEIÇÃO / PB",RIO GRANDE DO SUL
KAMILLY DA CUNHA,520.916.734-80,66,1957-06-21,"TRAVESSA LUCCA CARVALHO, 38
AEROPORTO
73024753 NOVAES / RO",RORAIMA
LUIZ MIGUEL ARAGÃO,937.652.018-12,54,1970-03-11,"AEROPORTO ANA CLARA OLIVEIRA
INDAIÁ
32077320 MONTEIRO DAS FLORES / AM",GOIÁS
ANA LAURA RIBEIRO,754.829.630-47,37,1986-11-14,"PRAIA DE DA MATA, 18
SÃO JORGE 3ª SEÇÃO
06677252 MELO VERDE / RJ",SÃO PAULO
LORENA DA MOTA,162.038.754-90,56,1967-05-22,"FAVELA DE AZEVEDO, 62
LINDÉIA
03359507 RIBEIRO PAULISTA / MA",RIO GRANDE DO SUL
EMANUELLA SOUZA,617.392.540-07,78,1945-12-06,"LOTEAMENTO FERREIRA, 493
LAGOA
76527-079 BARROS DE CARVALHO / PI",PARAÍBA
CECÍLIA PINTO,498.105.627-30,24,1999-04-16,"CAMPO VINICIUS CAMPOS, 2
CONJUNTO SÃO FRANCISCO DE ASSIS
98574-475 CARVALHO / MG",SANTA CATARINA
PEDRO HENRIQUE CUNHA,584.906.723-00,45,1978-12-27,"CONDOMÍNIO BRUNA MENDES, 55
PONGELUPE
35084954 DIAS / CE",AMAPÁ
SRA. ELOAH DA MOTA,901.387.625-03,32,1991-05-31,"LOTEAMENTO FREITAS, 30
PRIMEIRO DE MAIO
60294-574 CORREIA DO GALHO / SP",ACRE
SAMUEL DA ROCHA,159.708.423-97,21,2002-05-03,"TRECHO DE FREITAS, 8
VILA PIRATININGA VENDA NOVA
52726355 GONÇALVES / TO",SERGIPE
MELISSA ALMEIDA,705.349.286-92,64,1959-08-13,"ALAMEDA DE DA ROSA, 2
SÃO SALVADOR
19976-771 MOREIRA / PE",MATO GROSSO DO SUL
CARLOS EDUARDO DA MOTA,894.571.206-20,98,1925-08-08,"LARGO JULIANA BARBOSA, 182
CONCÓRDIA
78949-350 DA LUZ / RN",MATO GROSSO DO SUL
DR. VITOR DA MOTA,789.423.615-28,48,1975-05-17,"VIELA DE DA PAZ
MINASLANDIA
66289973 DA ROCHA DA MATA / PE",AMAZONAS
DR. DIOGO COSTELA,962.153.748-73,36,1987-09-28,"PASSARELA JOÃO LUCAS NOGUEIRA, 753
SÃO PEDRO
30597-524 GONÇALVES / PE",RIO DE JANEIRO
RAFAELA RODRIGUES,578.129.034-60,80,1943-12-10,"CAMPO VINICIUS SILVA, 27
LAGOINHA
89600340 OLIVEIRA / AC",AMAPÁ
VITOR HUGO DA CONCEIÇÃO,716.394.582-55,25,1998-04-30,"VIADUTO DE CASTRO, 65
JARDIM VITORIA
59934-260 LIMA / RR",TOCANTINS
ANA LAURA CALDEIRA,518.346.792-73,51,1972-10-28,"ESTRADA DE ROCHA, 305
LOURDES
66547-572 FREITAS / PE",ALAGOAS
DRA. LAURA SILVEIRA,472.815.960-49,95,1928-12-23,"PÁTIO LOPES, 1
VARZEA DA PALMA
21960284 MOREIRA DO GALHO / AM",PIAUÍ
SR. RAFAEL PEREIRA,492.853.701-79,86,1937-06-21,"RECANTO GUSTAVO PEREIRA, 77
SANTO ANTÔNIO
41583781 TEIXEIRA / PE",TOCANTINS
MANUELA MENDES,518.390.462-60,32,1992-02-25,"LARGO KEVIN BARBOSA, 2
VILA DA ÁRIA
11922167 FARIAS / MG",PARÁ
IGOR LOPES,073.482.961-22,29,1994-11-19,"RECANTO AZEVEDO
VILA CLORIS
93763674 ALVES DE GOIÁS / CE",SANTA CATARINA
MARCELO MOREIRA,346.801.792-87,49,1974-10-05,"TRECHO IGOR BARROS, 77
MARIANO DE ABREU
03314-220 MARTINS DO AMPARO / ES",PERNAMBUCO
THOMAS COSTELA,428.971.360-22,94,1930-03-08,"ALAMEDA DE PINTO
POUSADA SANTO ANTONIO
23210876 SILVEIRA / RS",MINAS GERAIS
LUIZ OTÁVIO GONÇALVES,637.820.451-90,63,1960-10-10,"TREVO REZENDE, 51
BELA VITORIA
18388-150 MENDES DE PORTO / MG",PARAÍBA
STELLA DA COSTA,063.418.752-07,54,1969-12-25,"ESTAÇÃO DE FREITAS, 32
CORUMBIARA
14711-167 TEIXEIRA / RR",CEARÁ
LUANA DA CRUZ,083.527.619-86,29,1994-10-12,"DISTRITO ROCHA
LUXEMBURGO
87202478 ARAÚJO / CE",MARANHÃO
MARIA CECÍLIA LIMA,132.968.450-89,27,1996-12-02,"RECANTO SILVEIRA, 47
OLHOS D'ÁGUA
47019155 RAMOS / ES",RONDÔNIA
MELISSA TEIXEIRA,642.987.103-78,70,1953-11-03,"RESIDENCIAL DE PIRES, 28
LARANJEIRAS
90058-265 ALVES DE OLIVEIRA / RS",SANTA CATARINA
DR. VINICIUS PIRES,163.584.079-10,38,1986-02-05,"DISTRITO DE LOPES, 397
ALTO DOS PINHEIROS
64452311 CALDEIRA DAS FLORES / MS",SÃO PAULO
LUIZ MIGUEL FARIAS,962.834.750-00,87,1936-11-03,"FEIRA CARDOSO, 21
CONJUNTO MINAS CAIXA
66461-182 CARVALHO DE GOIÁS / RN",ALAGOAS
BRENO CORREIA,148.592.607-67,40,1983-05-07,"CONJUNTO DANIEL FERNANDES, 403
GARÇAS
71034367 DA CONCEIÇÃO DO CAMPO / GO",MATO GROSSO DO SUL
LAÍS COSTELA,306.471.852-53,58,1966-01-18,"PARQUE MAITÊ SANTOS, 42
BOA VIAGEM
72176802 RIBEIRO ALEGRE / RS",SÃO PAULO
DR. DIEGO DA MATA,293.810.754-41,20,2003-08-22,"QUADRA DE DA MOTA, 62
ALTO CAIÇARAS
27102-258 REZENDE DO GALHO / MG",SÃO PAULO
LETÍCIA DA MOTA,852.671.409-02,30,1993-05-24,"VIADUTO JESUS, 11
CONJUNTO JATOBA
20417-169 ALVES DE MONTEIRO / DF",RONDÔNIA
LUNA FERREIRA,843.729.051-14,54,1970-01-25,"ALAMEDA ANTHONY FOGAÇA, 11
MANTIQUEIRA
77508-379 ARAGÃO / RS",AMAPÁ
DR. EMANUEL SILVEIRA,430.615.728-80,29,1994-04-23,"QUADRA DE FOGAÇA, 28
PANTANAL
51254-681 MONTEIRO / PI",PIAUÍ
LORENA SALES,263.185.049-15,44,1979-12-26,"FAZENDA CALDEIRA
SATELITE
32090552 FREITAS / AM",MARANHÃO
DAVI DA MATA,846.350.791-39,55,1969-02-19,"VILA ALVES
JARDIM ATLÂNTICO
71862-679 COSTA / DF",DISTRITO FEDERAL
ISABEL MELO,748.691.235-09,75,1948-12-28,"FEIRA ENRICO NOGUEIRA, 1
ITAIPU
30458-005 PEIXOTO / PB",MATO GROSSO
RAUL OLIVEIRA,298.671.453-64,93,1931-01-03,"RUA PEDRO MIGUEL DA LUZ, 95
NOSSA SENHORA DO ROSÁRIO
81008796 MOREIRA DO AMPARO / PA",AMAZONAS
LEVI DA MATA,192.507.348-32,61,1962-10-21,"VILA DE DA MATA
CÔNEGO PINHEIRO 2ª SEÇÃO
25940-946 RODRIGUES / CE",PARÁ
HELOÍSA CASTRO,587.410.632-44,62,1961-05-15,"SÍTIO DE CARDOSO, 88
ACAIACA
38458223 DIAS / RS",RIO GRANDE DO NORTE
SRA. JÚLIA DA PAZ,046.725.893-74,37,1986-08-19,"JARDIM MARIA SOPHIA FERREIRA, 95
VILA NOVA PARAÍSO
26195069 VIANA DE ROCHA / CE",PARÁ
LUANA VIANA,213.679.850-21,26,1998-04-01,"PRAÇA DE CASTRO, 980
ERNESTO NASCIMENTO
34433-095 ALMEIDA / SE",SERGIPE
SR. RENAN SALES,364.790.582-83,22,2001-04-17,"PRAÇA OLIVIA SILVEIRA, 49
NOVO DAS INDUSTRIAS
30053-926 REZENDE DE DUARTE / AC",ALAGOAS
CAIO ARAGÃO,714.325.068-62,22,2001-11-19,"ÁREA DE BARROS, 86
BOA ESPERANÇA
10087-478 FARIAS / RN",BAHIA
SRTA. LAVÍNIA RIBEIRO,263.019.854-51,75,1948-11-19,"ALAMEDA GUSTAVO HENRIQUE GONÇALVES, 50
BEIJA FLOR
29914020 COSTA DE MINAS / RJ",SÃO PAULO
SOFIA DA MATA,806.539.147-84,21,2002-05-16,"JARDIM DE LOPES, 7
PLANALTO
72162-664 DA LUZ / AM",SANTA CATARINA
ANDRÉ ARAÚJO,819.260.374-13,43,1980-04-26,"ALAMEDA DE DA MOTA, 94
VILA PAQUETÁ
67514889 LIMA DO OESTE / CE",ACRE
NATHAN AZEVEDO,285.976.143-82,85,1939-02-12,"LAGOA MILENA RAMOS, 4
CAIÇARA - ADELAIDE
27571-728 CARDOSO GRANDE / AM",RORAIMA
CAMILA TEIXEIRA,982.743.106-40,46,1977-08-13,"SETOR DA CUNHA, 39
JARDIM MONTANHÊS
78862288 ROCHA / RJ",PARANÁ
SRTA. CLARA SOUZA,510.347.682-71,25,1998-08-20,"ÁREA PEIXOTO, 32
FLAVIO DE OLIVEIRA
00101-655 DUARTE DE MENDES / SE",SANTA CATARINA
YURI NASCIMENTO,129.578.463-73,57,1966-09-28,"VEREDA MATHEUS AZEVEDO, 2
SERRANO
64023-772 VIEIRA DE RIBEIRO / AC",ESPÍRITO SANTO
SRTA. MARCELA GONÇALVES,148.296.730-87,83,1940-11-03,"PRAIA RAUL CAMPOS, 12
CONJUNTO PROVIDENCIA
48882013 AZEVEDO / CE",PARÁ
JOÃO RAMOS,936.270.418-87,50,1973-08-28,"JARDIM ENZO DA PAZ, 47
VILA OURO MINAS
27148341 CAVALCANTI DE MINAS / PR",RIO GRANDE DO SUL
RENAN ROCHA,720.384.569-92,42,1981-10-08,"VALE OLIVEIRA, 22
NOVA SUÍÇA
87931-582 SALES / RS",MARANHÃO
SR. CAIO SOUZA,453.618.092-33,50,1973-07-02,"CONJUNTO MARIA VITÓRIA DA CUNHA, 59
SERRA DO CURRAL
73310638 DUARTE DO CAMPO / MG",PARAÍBA
CLARICE FARIAS,743.692.081-22,55,1968-12-22,"ALAMEDA MARIA FERNANDA CASTRO, 87
MARAVILHA
46556-077 MARTINS / PI",RORAIMA
MARCOS VINICIUS JESUS,597.862.304-00,72,1951-10-12,"PRAÇA DE MORAES, 588
NOVA AMERICA
32071661 DA ROCHA DO SUL / PA",CEARÁ
JOÃO PEDRO NUNES,910.853.462-42,34,1989-09-16,"JARDIM DE RAMOS, 69
VILA NOVA GAMELEIRA 3ª SEÇÃO
22927152 MARTINS GRANDE / PA",MATO GROSSO
LEVI FARIAS,659.421.730-52,45,1978-12-03,"QUADRA MENDES, 42
VILA PINHO
14608-340 MOREIRA / GO",RIO GRANDE DO SUL
DR. ENZO DA COSTA,791.654.308-75,40,1983-05-07,"CAMPO MARCELA SILVEIRA, 66
ÁLVARO CAMARGOS
06681-952 ALVES DO GALHO / AM",SÃO PAULO
HELOÍSA ALVES,029.178.345-79,86,1937-10-06,"FAZENDA DE MORAES, 637
BURACO QUENTE
54488894 FERREIRA DE MOREIRA / PR",PARAÍBA
LUIZ HENRIQUE DA MOTA,842.957.163-91,20,2004-02-17,"RECANTO ALVES, 105
SAUDADE
04473467 DA MOTA DE MINAS / RR",RONDÔNIA
CAMILA CALDEIRA,903.721.486-03,54,1969-04-23,"LAGO JESUS, 71
FREI LEOPOLDO
96443895 DUARTE / MA",MATO GROSSO DO SUL
ARTHUR MENDES,918.452.370-05,50,1973-12-23,"ESPLANADA CAUÃ TEIXEIRA
JARDIM AMÉRICA
82077031 MONTEIRO DO GALHO / SP",RONDÔNIA
JOÃO FELIPE CAMPOS,362.759.410-06,54,1970-03-28,"PRAIA HEITOR CASTRO, 6
JARDIM LEBLON
74490880 DA PAZ DE NUNES / MS",MATO GROSSO
GUILHERME AZEVEDO,174.509.362-16,61,1962-07-24,"VIELA BENJAMIN CAMPOS, 1
POMPÉIA
36240-367 MENDES DA PRATA / CE",DISTRITO FEDERAL
DRA. LAURA CUNHA,364.701.829-50,46,1977-12-22,"NÚCLEO CASTRO, 7
MARIA HELENA
76215-850 DUARTE / BA",RORAIMA
NOAH MORAES,108.237.569-12,55,1969-04-03,"ESTRADA LUCAS GABRIEL CALDEIRA, 856
JOÃO PINHEIRO
66574452 CARDOSO / MG",GOIÁS
DAVI LUCCA LOPES,260.158.347-90,33,1990-11-27,"TRECHO FREITAS, 427
ALTO DOS PINHEIROS
16352-238 MOURA / AP",MARANHÃO
SOPHIA DA CRUZ,621.439.805-15,39,1984-07-30,"VIA RIBEIRO
FLAVIO DE OLIVEIRA
85013933 LIMA DAS FLORES / PR",MATO GROSSO
IGOR DA LUZ,740.681.529-85,46,1977-12-16,"LAGO SILVA, 75
VILA OESTE
67901-491 CUNHA DA SERRA / AC",BAHIA
DR. SAMUEL NASCIMENTO,692.581.734-73,86,1937-07-30,"TRAVESSA DUARTE, 59
BRASIL INDUSTRIAL
48304188 MOREIRA DE MINAS / RO",MATO GROSSO
MARIA FERNANDA FREITAS,968.451.273-28,66,1957-08-10,"FAVELA SARAH PORTO
CONJUNTO SÃO FRANCISCO DE ASSIS
82565112 DA ROSA DE GOIÁS / DF",TOCANTINS
EDUARDA COSTA,206.795.138-68,28,1995-10-31,"MORRO ENZO GABRIEL TEIXEIRA, 84
MIRTES
35827-828 NASCIMENTO / RS",DISTRITO FEDERAL
LORENZO MONTEIRO,069.471.258-20,43,1980-07-16,"ÁREA DA MOTA, 13
MINAS CAIXA
62104258 BARBOSA DO SUL / AP",MATO GROSSO DO SUL
CAROLINE CARDOSO,618.307.245-17,51,1972-09-08,"VIADUTO DE MOREIRA, 1
VERA CRUZ
02303138 GONÇALVES DO NORTE / DF",AMAZONAS
HENRIQUE DA ROCHA,329.504.167-99,21,2003-01-09,"NÚCLEO LUIZ GUSTAVO COSTELA, 99
JULIANA
43635569 PEIXOTO / SE",MINAS GERAIS
LUCAS GABRIEL OLIVEIRA,743.568.920-38,51,1972-08-04,"VIA ARAÚJO
SÃO CRISTÓVÃO
08165-622 PEIXOTO DE DA ROCHA / SE",RIO GRANDE DO SUL
SR. ARTHUR JESUS,418.370.659-93,96,1927-05-27,"LAGO DE CARDOSO
SANTA CECILIA
78099-314 SANTOS DO NORTE / MG",MATO GROSSO
MARCOS VINICIUS DA CUNHA,572.130.964-43,48,1976-01-16,"VIADUTO DE CARDOSO
INCONFIDÊNCIA
16426-137 CASTRO / PA",AMAPÁ
ANTÔNIO NOGUEIRA,061.387.542-71,19,2004-08-11,"QUADRA DE DA MATA, 49
OURO MINAS
00289438 CAVALCANTI DA PRATA / MT",PERNAMBUCO
SOPHIA MONTEIRO,601.245.398-15,90,1933-10-22,"NÚCLEO ARAÚJO, 155
LINDÉIA
82317-263 CAMPOS / PA",MINAS GERAIS
DR. LEANDRO SILVA,497.058.612-85,56,1967-12-07,"ESTAÇÃO SILVA, 18
SERRA
11636951 DAS NEVES DO AMPARO / AM",PERNAMBUCO
AMANDA FARIAS,185.243.670-08,99,1924-07-31,"PRAIA LAVÍNIA MORAES, 29
CONJUNTO JATOBA
41571-037 DA LUZ / RJ",RIO DE JANEIRO
SRTA. LUNA PEIXOTO,912.405.387-23,53,1970-12-14,"FAZENDA RAFAELA COSTELA, 37
HAVAÍ
52291-254 ROCHA / CE",AMAPÁ
SR. IGOR CAMPOS,183.502.746-62,54,1969-08-17,"FAZENDA FERREIRA, 849
LAGOA
49587-081 VIEIRA DO NORTE / AP",TOCANTINS
MARIA SOPHIA CORREIA,948.731.065-75,98,1925-10-03,"RESIDENCIAL ALANA DIAS, 51
VITORIA
01961759 GOMES DE DA CRUZ / TO",TOCANTINS
BRUNO DA CRUZ,293.415.687-73,22,2001-06-02,"RUA EVELYN DA CUNHA, 2
ALTA TENSÃO 1ª SEÇÃO
88048-422 DA ROCHA DO AMPARO / ES",ESPÍRITO SANTO
AMANDA CAVALCANTI,351.698.247-00,55,1968-12-13,"FAZENDA DE DUARTE, 99
SÃO SEBASTIÃO
38375-389 PIRES / AC",RORAIMA
BRUNO MELO,721.469.053-52,58,1965-06-26,"TREVO DE DA COSTA, 7
ESPLANADA
45022-514 FERNANDES DE COSTELA / AC",RORAIMA
DRA. ELISA NUNES,875.013.249-05,35,1989-01-12,"VALE ERICK MOREIRA, 48
VILA NOVA CACHOEIRINHA 2ª SEÇÃO
07868-934 DA CUNHA / AP",RIO GRANDE DO NORTE
CALEBE RAMOS,942.816.307-40,59,1964-05-05,"PARQUE DE MORAES, 36
GUTIERREZ
82171525 PEIXOTO DE FERNANDES / TO",RIO GRANDE DO SUL
SR. ARTHUR MORAES,306.927.841-87,80,1943-10-01,"PASSARELA LIMA, 87
JATOBÁ
09721-169 VIANA ALEGRE / RJ",RORAIMA
JÚLIA SILVEIRA,913.476.508-57,73,1950-11-18,"PÁTIO VITOR GABRIEL ROCHA
SÃO JOÃO BATISTA
91484973 PEREIRA DA PRATA / SC",RIO DE JANEIRO
SRA. ISABELLY SILVA,732.568.049-00,34,1989-08-28,"RODOVIA AGATHA LOPES, 7
VILA SÃO GABRIEL
31198992 DA LUZ / DF",PARÁ
DR. OTÁVIO AZEVEDO,457.821.069-30,79,1944-11-09,"AEROPORTO DE FERREIRA, 2
SANTA HELENA
28302071 OLIVEIRA DAS FLORES / CE",PERNAMBUCO
MARIA CECÍLIA ARAGÃO,264.571.809-49,99,1925-01-09,"TREVO ARAGÃO, 535
SALGADO FILHO
51800-056 CARVALHO DA PRATA / GO",SÃO PAULO
NOAH DA ROSA,742.960.813-22,58,1965-05-02,"AVENIDA FERREIRA, 7
ANTONIO RIBEIRO DE ABREU 1ª SEÇÃO
17090-502 RODRIGUES / DF",PERNAMBUCO
SRA. LAURA AZEVEDO,540.326.187-71,37,1986-06-16,"VIADUTO MARCELO RAMOS
UNIVERSO
53602-558 CUNHA DO GALHO / SP",RIO GRANDE DO NORTE
DR. FRANCISCO MOREIRA,702.483.165-08,24,1999-08-25,"NÚCLEO SILVA, 7
JARAGUÁ
74430032 SILVEIRA DE GOIÁS / CE",RONDÔNIA
MARIANE DAS NEVES,912.546.308-05,44,1979-10-27,"RODOVIA DE FREITAS, 782
PARQUE SÃO JOSÉ
53886812 DAS NEVES DAS FLORES / SC",PIAUÍ
ENZO MONTEIRO,309.546.872-56,33,1990-09-15,"QUADRA SILVEIRA, 76
JOÃO PAULO II
90482-858 REZENDE DOS DOURADOS / MG",PIAUÍ
DIEGO DA ROCHA,093.845.726-83,36,1988-01-24,"CONJUNTO DA ROSA, 22
PINDURA SAIA
13568-214 RAMOS DA SERRA / MS",PIAUÍ
ANA LAURA DA CRUZ,798.526.104-49,86,1937-04-28,"PARQUE RODRIGUES
VILA DA AMIZADE
99639-698 COSTA / RO",ESPÍRITO SANTO
ANA SOPHIA GOMES,384.961.725-46,44,1979-07-27,"LAGOA PORTO, 44
UNIDAS
73111211 ALVES / GO",PERNAMBUCO
ANA LAURA COSTA,502.176.894-85,52,1971-08-17,"VILA SALES, 913
BELA VITORIA
24276968 MONTEIRO / SP",RIO GRANDE DO SUL
FELIPE SOUZA,187.950.346-84,55,1968-09-30,"SETOR PEIXOTO, 47
PALMEIRAS
57575529 DA CRUZ / SE",PARÁ
LUANA NOVAES,287.430.169-87,78,1945-12-05,"PARQUE LUIZ GUSTAVO DA CONCEIÇÃO, 34
SANTA MARGARIDA
94925-425 RODRIGUES ALEGRE / RS",CEARÁ
SRA. YASMIN NOGUEIRA,360.925.841-15,48,1975-10-29,"LAGO DE ROCHA, 482
BELMONTE
74471-918 ROCHA DA MATA / PE",GOIÁS
BENÍCIO MELO,904.652.781-67,21,2002-12-07,"RECANTO MAITÊ PEREIRA
VILA SUZANA PRIMEIRA SEÇÃO
94645-027 SILVA / DF",RIO GRANDE DO NORTE
DANIELA ARAGÃO,726.304.851-53,58,1965-07-06,"FEIRA OTÁVIO PEREIRA, 93
PIRAJA
78140-773 CORREIA / RR",PARAÍBA
DAVI LUIZ SALES,740.692.138-13,44,1979-07-24,"TRECHO JOÃO GABRIEL PIRES, 64
NOVA PAMPULHA
61230820 SOUZA DA SERRA / RS",AMAPÁ
MILENA SOUZA,904.358.126-70,85,1938-10-08,"PRAÇA DE RIBEIRO, 9
SANTA INÊS
38053-049 AZEVEDO / SP",BAHIA
MARIA EDUARDA FERREIRA,438.256.190-60,74,1949-09-28,"PASSARELA DE CALDEIRA
VILA SESC
50710-500 CUNHA DE DIAS / AP",RONDÔNIA
SR. DIOGO LIMA,302.846.957-00,29,1994-12-06,"ESTRADA DANILO MONTEIRO
CONJUNTO CALIFÓRNIA II
38793-887 DA MATA ALEGRE / BA",MATO GROSSO
DR. CARLOS EDUARDO ARAÚJO,496.802.735-47,39,1984-11-09,"RODOVIA SOPHIA RODRIGUES, 88
VILA INDEPENDENCIA 2ª SEÇÃO
76814388 PIRES / RR",PARANÁ
MARINA GOMES,934.587.620-00,98,1925-12-25,"LAGOA SOUZA
COPACABANA
16768543 MONTEIRO / ES",SANTA CATARINA
GUSTAVO HENRIQUE DUARTE,254.130.968-60,23,2000-05-29,"ÁREA ANA SOPHIA PEREIRA, 32
MINAS CAIXA
69026-029 CALDEIRA DO OESTE / TO",MINAS GERAIS
CAIO RAMOS,832.941.657-73,27,1996-11-06,"VIADUTO DE SALES, 92
BURACO QUENTE
13458-643 NUNES / AL",PARAÍBA
RAFAEL NUNES,462.971.358-19,88,1935-04-10,"NÚCLEO MONTEIRO, 504
SÃO BERNARDO
15990-096 PORTO / TO",MATO GROSSO
ENZO GABRIEL CARDOSO,726.801.549-67,37,1987-01-26,"NÚCLEO RIBEIRO
VILA NOVA CACHOEIRINHA 1ª SEÇÃO
13917300 FERREIRA DAS FLORES / PE",SÃO PAULO
DAVI CARDOSO,065.781.243-90,18,2005-07-25,"PRAÇA ANA JÚLIA REZENDE, 38
VILA COQUEIRAL
41709963 SILVEIRA / PA",RIO GRANDE DO SUL
DANIEL PIRES,274.530.968-47,39,1984-06-13,"AVENIDA BRUNA RODRIGUES, 724
DIAMANTE
12678-518 REZENDE DO GALHO / ES",PARAÍBA
BRENDA DA MATA,532.841.679-19,44,1980-02-29,"PÁTIO ROCHA, 75
HAVAÍ
43098627 DA CUNHA / AC",CEARÁ
SAMUEL DIAS,852.910.634-24,38,1985-11-17,"VIADUTO ENZO GABRIEL MOREIRA, 72
VILA REAL 2ª SEÇÃO
01069636 SALES DE GOIÁS / CE",RIO GRANDE DO NORTE
GUSTAVO HENRIQUE DA COSTA,917.230.485-50,19,2005-03-08,"RESIDENCIAL RIBEIRO, 60
FLAMENGO
74294090 RIBEIRO / RO",ALAGOAS
THEO FOGAÇA,091.584.236-05,48,1975-06-26,"TRAVESSA CARDOSO, 95
ALTA TENSÃO 1ª SEÇÃO
42836-344 LIMA / MT",ACRE
SRA. ALEXIA CARVALHO,483.106.527-71,24,2000-03-31,"QUADRA LORENZO PIRES
VILA OLHOS D'ÁGUA
03485618 DA ROSA DE CORREIA / AC",RONDÔNIA
JULIANA MARTINS,432.807.956-56,84,1939-06-04,"CAMPO DE SOUZA
VILA JARDIM SÃO JOSÉ
04692667 CARVALHO / RR",BAHIA
LUIZ GUSTAVO DA ROSA,280.753.914-97,85,1938-06-09,"VIA DE DA PAZ, 5
DONA CLARA
30465-337 OLIVEIRA DE GOIÁS / AL",PARANÁ
GABRIELA FREITAS,367.520.481-26,30,1994-03-10,"TREVO CARVALHO, 9
GRAJAÚ
40077-715 MORAES DA SERRA / BA",RIO GRANDE DO NORTE
ENZO GABRIEL VIEIRA,812.564.079-76,22,2002-01-28,"TRAVESSA NOVAES
BOA VISTA
29032951 ARAGÃO / TO",RIO DE JANEIRO
SRTA. LUNA NASCIMENTO,815.732.049-60,69,1954-06-13,"PASSARELA DE NASCIMENTO, 916
JOÃO PAULO II
86360-200 DUARTE DO AMPARO / AL",RIO DE JANEIRO
SOPHIE DA MATA,971.238.045-97,70,1953-04-10,"AVENIDA DE ALMEIDA, 78
VILA ATILA DE PAIVA
41400947 DA CUNHA / AL",MARANHÃO
CLARICE ALVES,973.846.520-65,22,2001-12-02,"AVENIDA HELOÍSA COSTA
CABANA DO PAI TOMÁS
54742254 CAVALCANTI / AC",MATO GROSSO
CATARINA RODRIGUES,138.640.975-84,84,1939-11-26,"NÚCLEO FARIAS, 97
LOURDES
55915-124 GOMES DE SOUZA / RR",PARANÁ
ANTÔNIO VIEIRA,017.236.854-53,89,1934-10-25,"FAVELA DE LOPES, 473
LAGOINHA LEBLON
41398-890 PEIXOTO / PR",SERGIPE
DR. NICOLAS DA CONCEIÇÃO,105.236.748-80,25,1998-06-04,"QUADRA MARIANA COSTELA, 87
GRAJAÚ
64615642 FERREIRA / BA",RORAIMA
MARIA ALICE DA COSTA,290.738.654-92,88,1936-02-17,"RUA CARDOSO, 76
OLHOS D'ÁGUA
25842688 BARROS ALEGRE / MA",AMAPÁ
SR. LUCCA MARTINS,906.435.128-70,56,1967-08-30,"PÁTIO PAULO DA ROSA, 93
BELVEDERE
57898-196 MELO / TO",TOCANTINS
JOÃO PEDRO COSTA,532.940.718-41,68,1955-09-12,"FEIRA CARDOSO
CONJUNTO MINAS CAIXA
88969-195 DA MATA / RN",CEARÁ
MAITÊ GONÇALVES,034.719.856-20,97,1926-09-20,"DISTRITO GIOVANNA RODRIGUES, 37
MARIETA 3ª SEÇÃO
62839-349 DA MATA / PR",ACRE
ANA LAURA FERREIRA,326.490.578-74,72,1952-01-29,"ESTRADA DE RAMOS
GARÇAS
28169898 SANTOS DAS PEDRAS / RO",PARANÁ
SABRINA DA MATA,172.548.960-02,30,1994-01-31,"VIELA DE MORAES, 56
VILA MARIA
42762903 FOGAÇA DE GOIÁS / MS",RIO GRANDE DO SUL
ALEXANDRE DAS NEVES,183.904.625-24,93,1930-07-19,"ÁREA DE NOVAES, 52
ITAPOA
66232412 FOGAÇA DO OESTE / ES",ACRE
ISADORA DA CUNHA,471.928.063-31,54,1969-08-31,"VIADUTO FREITAS, 622
JARDIM ATLÂNTICO
10686-144 DA ROCHA PAULISTA / PE",MINAS GERAIS
DR. LUIGI FERNANDES,834.265.197-55,72,1951-07-16,"DISTRITO THOMAS PIRES, 77
BAIRRO DAS INDÚSTRIAS II
44279-855 DA CUNHA / MT",AMAPÁ
SR. YAGO CAVALCANTI,758.901.423-05,93,1931-03-01,"ESTRADA MELO
VILA INDEPENDENCIA 3ª SEÇÃO
33664610 CARDOSO / AM",AMAPÁ
CAROLINA PEIXOTO,396.720.418-96,63,1960-06-26,"LOTEAMENTO DIAS, 21
CAMPONESA 1ª SEÇÃO
82741936 DA ROSA / RN",AMAZONAS
ANA LÍVIA PORTO,067.412.835-44,74,1949-09-26,"COLÔNIA VIEIRA, 6
MILIONARIO
96648865 MORAES / SE",MATO GROSSO DO SUL
HENRIQUE DA MATA,896.724.305-74,33,1990-12-25,"AEROPORTO VINICIUS REZENDE, 18
CONJUNTO SÃO FRANCISCO DE ASSIS
55527-291 DA PAZ DO CAMPO / PR",RIO DE JANEIRO
ENRICO ARAGÃO,490.851.376-75,93,1930-06-30,"PRAÇA ALMEIDA, 95
VILA NOVO SÃO LUCAS
69709-867 MORAES / AP",BAHIA
MILENA CAVALCANTI,523.064.179-70,25,1998-09-15,"TRECHO KEVIN CASTRO, 70
SÃO GERALDO
98131993 SALES / PR",TOCANTINS
DAVI LUCCA MELO,731.984.025-14,96,1928-02-22,"PASSARELA KAMILLY MOREIRA, 704
CARDOSO
41864-156 DA CUNHA / SP",GOIÁS
CLARICE FERNANDES,192.763.485-73,87,1936-12-27,"VEREDA JESUS, 7
ESPLANADA
50230404 TEIXEIRA VERDE / SP",PARÁ
